config_key,T,m,sigma2_method,cbar_otimo,poder_no_otimo,se_poder,se_cbar,fallback_used,refined,inv_dev,cfg_seed,lambda1,lambda2,lambda3,lambda4,lambda5,mza_cv1,mza_cv1_se,mza_cv2_5,mza_cv2_5_se,mza_cv5,mza_cv5_se,mza_cv10,mza_cv10_se,msb_cv1,msb_cv1_se,msb_cv2_5,msb_cv2_5_se,msb_cv5,msb_cv5_se,msb_cv10,msb_cv10_se,mzt_cv1,mzt_cv1_se,mzt_cv2_5,mzt_cv2_5_se,mzt_cv5,mzt_cv5_se,mzt_cv10,mzt_cv10_se,pt_cv1,pt_cv1_se,pt_cv2_5,pt_cv2_5_se,pt_cv5,pt_cv5_se,pt_cv10,pt_cv10_se,mpt_cv1,mpt_cv1_se,mpt_cv2_5,mpt_cv2_5_se,mpt_cv5,mpt_cv5_se,mpt_cv10,mpt_cv10_se
T30_m2_lambdas_0.5_0.733,30,2,const,-9.992957746,0.5,0.007070909,0.12449063,0,0,3.11E-10,51278506,0.5,0.733,,,,-21.15408938,0.217778247,-18.74917999,0.177892284,-16.72040323,0.154884764,-14.75225495,0.090490261,0.150225789,0.000967476,0.158560303,0.000714331,0.167967059,0.000671735,0.179179155,0.00058596,-3.204544077,0.016821828,-3.015870978,0.01167914,-2.84308798,0.012557364,-2.656249159,0.010039251,2.822673695,0.071296093,3.331787424,0.038310917,3.844624245,0.033230109,4.563606472,0.038220924,2.518376264,0.037430799,2.839074631,0.024168542,3.188973614,0.027605019,3.623572016,0.022240539
T30_m2_lambdas_0.5_0.85,30,2,const,-9.598684211,0.5,0.007068996,0.116300457,0,0,3.07E-11,51438679,0.5,0.85,,,,-20.49670617,0.288402775,-18.32435743,0.154125161,-16.34692605,0.13923357,-14.21662923,0.086301973,0.151791825,0.000710742,0.160643082,0.000732379,0.169745035,0.000778726,0.182151076,0.000502909,-3.144566452,0.01994182,-2.968638314,0.013450865,-2.808620658,0.01306044,-2.605337004,0.010757752,2.709535516,0.040774011,3.137887815,0.047635033,3.644507341,0.038836587,4.348676172,0.036816288,2.407711863,0.033031465,2.728420578,0.029546815,3.044812316,0.025987977,3.488248526,0.020204509
T30_m2_lambdas_0.617_0.85,30,2,const,-9.025641026,0.5,0.007070691,0.151091193,0,0,1.02E-10,51443008,0.617,0.85,,,,-20.25419756,0.231025154,-17.95897295,0.179114681,-15.82937868,0.141844676,-13.71346633,0.097613599,0.153530132,0.000772296,0.162060018,0.000837573,0.172007606,0.000861161,0.185488152,0.000630451,-3.135760879,0.013575383,-2.936064162,0.017098537,-2.756348401,0.012504877,-2.559668413,0.010274225,2.387150989,0.044171853,2.797090765,0.031661799,3.270347499,0.025968486,3.884902821,0.036995281,2.151144034,0.029559344,2.481592094,0.029521527,2.785280837,0.021727529,3.216591072,0.02190368
T45_m0_lambdas_,45,0,const,-7.115736609,0.5,0,0.035897516,0,0,3.06E-10,-20,,,,,,-15.33874321,0.057589864,-12.40013574,0.050898667,-10.19383167,0.043481356,-7.919567728,0.025234554,0.175292034,0.000306961,0.194089417,0.000370298,0.212766616,0.00036361,0.238632221,0.000330813,-2.717775898,0.005578419,-2.435570609,0.005254474,-2.197984549,0.004825308,-1.923580062,0.003421854,1.869477889,0.02014206,2.352628228,0.022549764,2.910107046,0.023977537,3.806141247,0.03123665,1.806591078,0.017142216,2.228378454,0.019081824,2.708761733,0.022807018,3.457191186,0.027176339
T45_m1_lambdas_0.15,45,1,const,-8.65483871,0.5,0.007068161,0.114049481,0,0,5.83E-11,65254205,0.15,,,,,-18.13507193,0.348971681,-15.12737239,0.215945435,-12.98292786,0.124522454,-10.61827773,0.117724595,0.162110777,0.001483032,0.177008072,0.001205013,0.190204222,0.000841699,0.207828406,0.000833214,-2.976011016,0.02820145,-2.701571253,0.016586756,-2.503607559,0.014348201,-2.244335201,0.011897862,2.507679028,0.052079295,2.999361725,0.039811343,3.610921666,0.062181176,4.492958966,0.043956263,2.205693786,0.039809246,2.629896318,0.036093841,3.088215599,0.033194935,3.792614044,0.03680895
T45_m1_lambdas_0.267,45,1,const,-8.618131868,0.5,0.007067685,0.097130052,0,0,2.21E-10,65258534,0.267,,,,,-18.18736905,0.431168496,-15.00787525,0.202093845,-12.86271893,0.132356704,-10.77660188,0.092539861,0.161619118,0.002263409,0.176543942,0.001381466,0.190863067,0.001059209,0.207508741,0.000771362,-2.985786829,0.029802033,-2.693473836,0.014392453,-2.4862533,0.013382021,-2.259594104,0.011910569,2.434987089,0.05417836,2.986549331,0.043312985,3.547539277,0.049797384,4.499900657,0.046486148,2.165671602,0.041556691,2.635467511,0.03456036,3.080966416,0.030469467,3.712580617,0.031715221
T45_m1_lambdas_0.383,45,1,const,-8.333333333,0.5,0.007067518,0.105224223,0,0,3.43E-10,65262826,0.383,,,,,-18.61773771,0.337587313,-15.44021049,0.231799273,-13.04982286,0.146723549,-10.75370775,0.102823144,0.159134602,0.001566591,0.174005276,0.001259162,0.188911963,0.001214025,0.207829669,0.000903226,-2.982366214,0.032157013,-2.726834633,0.020705044,-2.491357215,0.014488486,-2.259903679,0.009659509,2.244565669,0.061802267,2.760551197,0.0429825,3.337416971,0.037222269,4.183483563,0.040712566,2.046195827,0.046834561,2.452858068,0.033768412,2.901532175,0.0340573,3.473367018,0.032007403
T45_m1_lambdas_0.5,45,1,const,-8.004739336,0.5,0.007070831,0.083780424,0,0,3.40E-10,65267155,0.5,,,,,-18.50665214,0.367965713,-15.01123176,0.264141061,-12.65655779,0.146203411,-10.43706285,0.094850233,0.158727014,0.001773149,0.175980385,0.001331366,0.192043255,0.001025527,0.21039106,0.000819797,-3.005255942,0.030633509,-2.688749266,0.023812885,-2.44769555,0.015988327,-2.221914695,0.010071623,2.103375652,0.054723294,2.595066879,0.038498088,3.170481794,0.038621583,3.966802308,0.038426196,1.874841751,0.037313252,2.304134377,0.027570868,2.762230197,0.027168242,3.320195866,0.030920341
T45_m1_lambdas_0.617,45,1,const,-8.152,0.5,0.007069197,0.141421356,0,0,1.43E-10,65271484,0.617,,,,,-17.43867976,0.277761911,-14.92800275,0.184741985,-12.73629747,0.148353789,-10.3944516,0.086842217,0.164399731,0.001483352,0.17826783,0.001019322,0.191285655,0.001062905,0.210883874,0.000884025,-2.904572979,0.027582012,-2.680017258,0.013253629,-2.471067647,0.012968255,-2.212380114,0.01424043,2.217872631,0.044306335,2.714891477,0.043038035,3.240998432,0.03492503,4.129052758,0.041823966,2.046001526,0.036512187,2.421371366,0.027631163,2.839112193,0.030935548,3.449821577,0.036276655
T45_m1_lambdas_0.733,45,1,const,-8.092948718,0.5,0.007068983,0.113318394,0,0,2.71E-10,65275776,0.733,,,,,-17.20141765,0.256542049,-14.57298359,0.174351165,-12.47902576,0.121452153,-10.02903393,0.102513151,0.165869073,0.001310012,0.179101003,0.000993328,0.193495215,0.000960257,0.212541897,0.000872674,-2.870460853,0.023784827,-2.643664793,0.018110453,-2.428076408,0.01677366,-2.169358937,0.013035757,2.272058142,0.05738122,2.700233254,0.045844817,3.26818841,0.044715675,4.150437224,0.045967865,2.092944221,0.03978145,2.462573036,0.034873234,2.881062703,0.031112585,3.537003802,0.032134728
T45_m1_lambdas_0.85,45,1,const,-7.77020202,0.5,0.007065558,0.089281159,0,0,4.40E-10,65280105,0.85,,,,,-16.79433249,0.284346197,-14.26384317,0.197148805,-12.0279978,0.152764483,-9.591330762,0.087728108,0.167363172,0.001343427,0.181145758,0.001094556,0.196202077,0.001209845,0.217182471,0.001112651,-2.833603435,0.027325076,-2.61403212,0.015978287,-2.377662969,0.01426669,-2.107491863,0.013914125,2.064630233,0.057740248,2.560812835,0.038615877,3.108910331,0.044545227,3.979273142,0.051809977,1.947176417,0.027224919,2.321407085,0.031106701,2.779396045,0.032218087,3.484082902,0.034735321
T45_m2_lambdas_0.15_0.383,45,2,const,-10.26086957,0.5,0.007067408,0.10979919,0,0,3.21E-11,65786451,0.15,0.383,,,,-21.13601599,0.380422688,-18.30207833,0.191107367,-16.15734845,0.134835547,-13.85780335,0.105252983,0.150389449,0.001262204,0.161378262,0.000769699,0.171440823,0.000955853,0.184164089,0.000706187,-3.195664785,0.026336997,-2.986091045,0.01519885,-2.794822594,0.01106382,-2.576478347,0.01081952,3.122940843,0.04699296,3.705292092,0.057819887,4.299887822,0.047749351,5.224691191,0.049006213,2.659561963,0.038268592,3.060870196,0.027567062,3.476176866,0.030935009,4.040735913,0.027210376
T45_m2_lambdas_0.15_0.5,45,2,const,-9.492537313,0.5,0.007070918,0.131922907,0,0,1.83E-10,65946624,0.15,0.5,,,,-20.20703118,0.258664361,-17.59934304,0.174743427,-15.32707195,0.156160571,-13.29266532,0.095550697,0.153515528,0.000951488,0.164857249,0.000835344,0.175605005,0.000837998,0.188100528,0.000579803,-3.125147473,0.017780306,-2.918053013,0.015743255,-2.719776493,0.013247613,-2.51996087,0.010347688,2.717573862,0.049151503,3.23861866,0.036611878,3.831943472,0.039151656,4.667809964,0.044413955,2.396038148,0.028179676,2.735636692,0.031893712,3.134119363,0.025528564,3.628017632,0.022598627
T45_m2_lambdas_0.15_0.617,45,2,const,-9.984126984,0.5,0.007070792,0.140298965,0,0,4.86E-11,66106797,0.15,0.617,,,,-20.60214877,0.281017425,-17.90769101,0.22461839,-15.62223236,0.129228141,-13.38305788,0.105489356,0.152215124,0.000881619,0.163363403,0.000899507,0.173142006,0.000699794,0.187587265,0.000691352,-3.178640855,0.022427887,-2.963162584,0.017009833,-2.751086978,0.012530216,-2.534626364,0.008224868,2.976127935,0.050797361,3.553559146,0.043316164,4.182061788,0.048585229,5.051815405,0.052175871,2.554529393,0.035593792,2.934943174,0.043419484,3.380401055,0.037694865,3.958010165,0.027652347
T45_m2_lambdas_0.15_0.733,45,2,const,-8.988095238,0.5,0.007070859,0.140298965,0,0,1.55E-10,66265601,0.15,0.733,,,,-20.15944434,0.325102295,-17.33655024,0.182964882,-15.1364116,0.150229201,-12.81938595,0.100832006,0.154804722,0.001189975,0.165771998,0.000776401,0.17656878,0.000829061,0.191262833,0.000598606,-3.123824023,0.024522809,-2.882573587,0.016842041,-2.696988619,0.011836586,-2.471720256,0.011215557,2.479678688,0.033822117,2.937662306,0.037713257,3.510106895,0.034639603,4.285357996,0.034348467,2.162977992,0.038515048,2.510405331,0.023648008,2.888636517,0.023418596,3.409927921,0.025295025
T45_m2_lambdas_0.15_0.85,45,2,const,-9.175324675,0.5,0.007068012,0.114790062,0,0,1.94E-10,66425774,0.15,0.85,,,,-19.49857746,0.241183977,-16.82358039,0.173122528,-14.70557578,0.132812781,-12.50063352,0.103689768,0.155632538,0.001140361,0.168020281,0.000837791,0.178784885,0.000897856,0.192871208,0.000615843,-3.075382489,0.021312772,-2.860422104,0.013352006,-2.659289552,0.013631892,-2.442921316,0.009000491,2.63406872,0.054965602,3.153602281,0.038869056,3.674396302,0.035504678,4.504589627,0.046395856,2.31936566,0.043444648,2.682932503,0.025878095,3.082259801,0.028612158,3.623206285,0.024654446
T45_m2_lambdas_0.267_0.5,45,2,const,-9.069343066,0.5,0.007069799,0.129034084,0,0,1.41E-10,65950953,0.267,0.5,,,,-20.14100745,0.320395458,-17.22852293,0.2173224,-15.21727315,0.14076879,-13.01703464,0.088460713,0.154727978,0.000843237,0.165549836,0.00084924,0.176023747,0.000638777,0.190321435,0.000816337,-3.121392602,0.030158558,-2.879360446,0.015549883,-2.704741451,0.0112172,-2.499240701,0.009825097,2.545941608,0.035580366,3.01355759,0.036177193,3.500679918,0.037950454,4.29094339,0.036360385,2.185991798,0.033200621,2.595517028,0.029083207,2.918208102,0.023138371,3.379794791,0.024551841
T45_m2_lambdas_0.267_0.617,45,2,const,-9.771186441,0.5,0.007069113,0.149810759,0,0,4.15E-11,66111126,0.267,0.617,,,,-20.39544586,0.264251928,-17.5503154,0.174453583,-15.576628,0.09811596,-13.41025204,0.080118285,0.152469356,0.001200429,0.164487522,0.001016229,0.174807586,0.000779875,0.186828493,0.0006269,-3.150230484,0.020498078,-2.907715033,0.012599069,-2.740285888,0.012535993,-2.535753752,0.008394433,2.915008264,0.055849937,3.454797983,0.046616522,4.018535872,0.040241712,4.897342655,0.044655207,2.488511808,0.032279228,2.910461459,0.032960156,3.284494434,0.033413151,3.799365731,0.026431113
T45_m2_lambdas_0.267_0.733,45,2,const,-9.209150327,0.5,0.007067845,0.115540324,0,0,3.89E-10,66269930,0.267,0.733,,,,-20.66011328,0.322667606,-17.45313614,0.244403793,-15.15853596,0.151703015,-13.03905044,0.100749398,0.153268061,0.001148445,0.164220955,0.001160977,0.176428251,0.000913043,0.18946928,0.000667583,-3.147956206,0.024426859,-2.897487481,0.016554955,-2.70205022,0.014490133,-2.489940971,0.01026985,2.559374061,0.036436967,3.100382985,0.052027719,3.668497342,0.03479859,4.470998289,0.037221465,2.213757535,0.038084999,2.637819901,0.027501873,3.016910014,0.025325861,3.504316161,0.022525927
