currency,iso3,year,xr,iso2,cpi,cpi_us,s_it,p_i,p_us,q,ln_xr
AUD,AUS,2023,1.506645,AU,139.880337389597,139.73579356326,-0.4098853245416559,4.940787324185382,4.939753450791028,-0.4109191979360096,0.4098853245416559
AUD,AUS,2024,1.515301,AU,144.309741509281,143.857336014608,-0.4156140990950881,4.97196197222804,4.96882208636568,-0.41875398495744776,0.4156140990950881
CAD,CAN,1970,1.0433,CA,17.4585002862049,17.8051000777325,-0.04238876649178652,2.859826652461445,2.8794849374796003,-0.02273048147363088,0.04238876649178652
CAD,CAN,1971,1.009921,CA,17.9307384087006,18.5694314826577,-0.009872109972212629,2.8865164696302106,2.9215167600687066,0.02512818046628329,0.009872109972212629
CAD,CAN,1972,0.990741,CA,18.8251287922152,19.1770749495732,0.009302130980104786,2.9351926152144903,2.9537155525891694,0.027825068354784044,-0.009302130980104786
CAD,CAN,1973,1.000246,CA,20.2346880366342,20.3617886272073,-0.0002459697469613651,3.0073983611906607,3.0136600378830294,0.0060157069454072065,0.0002459697469613651
CAD,CAN,1974,0.978025,CA,22.4599313108185,22.612744614712,0.022220046901843413,3.1117328910161506,3.1185136683394976,0.029000824225190236,-0.022220046901843413
CAD,CAN,1975,1.017207,CA,24.8568975386377,24.6802610650347,-0.017060636178012296,3.2131352809752505,3.2060037769810257,-0.024192140172237142,0.017060636178012296
CAD,CAN,1976,0.985853,CA,26.7315397824842,26.0980958211709,0.01424802271520145,3.28584413352293,3.2618623546238927,-0.009733756183835762,-0.01424802271520145
CAD,CAN,1977,1.063421,CA,28.8637664567831,27.7949115401048,-0.06149106987129544,3.3625870526883577,3.3248529658173425,-0.0992251567423108,0.06149106987129544
CAD,CAN,1978,1.139993,CA,31.4539210074413,29.9159311887723,-0.1310221220366749,3.44852364969771,3.3983911541787712,-0.18115461755561357,0.1310221220366749
CAD,CAN,1979,1.171634,CA,34.3302804808242,33.2828110274678,-0.15839935569375885,3.5360277775738367,3.505041078355544,-0.18938605491205118,0.15839935569375885
CAD,CAN,1980,1.168343,CA,37.807670291929,37.7923663165264,-0.15558650567865168,3.632511999816414,3.632107132932793,-0.1559913725622728,0.15558650567865168
CAD,CAN,1981,1.198897,CA,42.522896393818,41.6980997956942,-0.18140196743457093,3.75004266954086,3.7304555593179023,-0.20098907765752871,0.18140196743457093
CAD,CAN,1982,1.233789,CA,47.1021751574127,44.254788345169,-0.21008992220818823,3.8523191816420757,3.78996357678979,-0.2724455270604742,0.21008992220818823
CAD,CAN,1983,1.232175,CA,49.8640526617058,45.6764447583299,-0.20878090047837317,3.909300355612718,3.821582733035403,-0.29649852305568825,0.20878090047837317
CAD,CAN,1984,1.294674,CA,52.0105895821408,47.6407764689877,-0.2582589260085727,3.951447343658834,3.863689043031601,-0.3460172266358059,0.2582589260085727
CAD,CAN,1985,1.365068,CA,54.0712650257584,49.3299488738723,-0.3112042442459218,3.990302899194918,3.898531378834656,-0.4029757646061838,0.3112042442459218
CAD,CAN,1986,1.38963,CA,56.3394390383515,50.2662548449057,-0.32903752465817954,4.031394805677882,3.9173339741315827,-0.44309835620447924,0.32903752465817954
CAD,CAN,1987,1.325811,CA,58.7936462507155,52.1082935307754,-0.28202434766809237,4.074033792105387,3.9533241209424923,-0.4027340188309867,0.28202434766809237
CAD,CAN,1988,1.230547,CA,61.1619919862622,54.2331348364675,-0.2074587859748738,4.113525950613238,3.9932920654973416,-0.3276926710907704,0.2074587859748738
CAD,CAN,1989,1.184005,CA,64.2100744132799,56.8509698983363,-0.16890275942587016,4.162160120710127,4.040433280707765,-0.29062959942823285,0.16890275942587016
CAD,CAN,1990,1.166869,CA,67.279622209502,59.919760489111,-0.15432409336169067,4.208857400451276,4.093006342023255,-0.2701751517897115,0.15432409336169067
CAD,CAN,1991,1.145566,CA,71.0646823125358,62.4573407534626,-0.13589883801287103,4.263590480802256,4.134483775755862,-0.26500554305926594,0.13589883801287103
CAD,CAN,1992,1.208774,CA,72.123640526617,64.3490609806525,-0.18960662281059185,4.278381875799558,4.164322341560413,-0.30366615704973654,0.18960662281059185
CAD,CAN,1993,1.290581,CA,73.468803663423,66.2484245218916,-0.2550925045764295,4.29686087616523,4.193411683781927,-0.3585416969597319,0.2550925045764295
CAD,CAN,1994,1.365552,CA,73.590440755581,67.9758134970225,-0.311558742495454,4.298515136261257,4.219151958038281,-0.39092192071843,0.311558742495454
CAD,CAN,1995,1.372443,CA,75.1717229536348,69.8828203523109,-0.3165923634845073,4.319775135688106,4.246819844387176,-0.38954765478543774,0.3165923634845073
CAD,CAN,1996,1.363618,CA,76.352318259874,71.9312285175105,-0.31014146154649647,4.335358394790763,4.275710503081537,-0.36978935325572193,0.31014146154649647
CAD,CAN,1997,1.384083,CA,77.5901545506583,73.6127576083459,-0.32503782649554924,4.351440544792755,4.298818347783613,-0.3776600235046912,0.32503782649554924
CAD,CAN,1998,1.483863,CA,78.3629078420148,74.755433058709,-0.39464882242431515,4.361350701142483,4.3142218926891625,-0.4417776308776351,0.39464882242431515
CAD,CAN,1999,1.485711,CA,79.722381224957,76.391102265249,-0.39589344555110667,4.378550364754959,4.335866226893451,-0.4385775834126151,0.39589344555110667
CAD,CAN,2000,1.485217,CA,81.8903835145964,78.9707207568715,-0.39556088952514257,4.405381566560865,4.36907716043848,-0.4318652956475275,0.39556088952514257
CAD,CAN,2001,1.548034,CA,83.9582140812822,81.2025684592531,-0.43698573875062346,4.430319223660004,4.396946877938964,-0.4703580844716635,0.43698573875062346
CAD,CAN,2002,1.569864,CA,85.8543216943331,82.490466876552,-0.450988991404302,4.4526519261385875,4.412682733652381,-0.4909581838905086,0.450988991404302
CAD,CAN,2003,1.401231,CA,88.2226674298798,84.3630788186188,-0.3373511359902702,4.479863930332589,4.435129851134964,-0.38208521518789507,0.3373511359902702
CAD,CAN,2004,1.301298,CA,89.8611906124785,86.6216781201727,-0.2633622278747797,4.498266153192326,4.461550108955697,-0.30007827211140814,0.2633622278747797
CAD,CAN,2005,1.212034,CA,91.850314825415,89.5605323721102,-0.1922999400589307,4.520160239259125,4.494914736019611,-0.2175454432984445,0.1922999400589307
CAD,CAN,2006,1.134173,CA,93.689181453921,92.4497050827274,-0.12590375098909998,4.539982723175235,4.526664767808872,-0.13922170635546394,0.12590375098909998
CAD,CAN,2007,1.073623,CA,95.6926159129937,95.0869923788515,-0.07103891025468803,4.561141136788122,4.554792181845666,-0.07738786519714491,0.07103891025468803
CAD,CAN,2008,1.065847,CA,97.9607899255867,98.7374773853445,-0.06376978823813509,4.584567295807955,4.592464584452349,-0.05587249959374052,0.06376978823813509
CAD,CAN,2009,1.140266,CA,98.2541499713795,98.3864199710624,-0.13126156852174903,4.587557488751782,4.5889027861100065,-0.12991627116352422,0.13126156852174903
CAD,CAN,2010,1.029955,CA,100.0,100.0,-0.02951511196674985,4.605170185988092,4.605170185988092,-0.029515111966749608,0.02951511196674985
CAD,CAN,2011,0.989261,CA,102.912135088724,103.156841568622,0.010797079243423742,4.633875566778093,4.636250563722241,0.013172076187571768,-0.010797079243423742
CAD,CAN,2012,0.999739,CA,104.471951917573,105.291504532867,0.00026103406642764306,4.6489186326757626,4.65673273718501,0.008075138575675211,-0.00026103406642764306
CAD,CAN,2013,1.030191,CA,105.452203777905,106.833848874866,-0.029744221943452918,4.658257805501144,4.671274813342744,-0.016727214101853072,0.029744221943452918
CAD,CAN,2014,1.104261,CA,107.462793360046,108.566932118964,-0.09917633295722189,4.677144679379782,4.687366868673699,-0.08895414366330456,0.09917633295722189
CAD,CAN,2015,1.27911,CA,108.672009158557,108.695721960694,-0.24616452358967916,4.688334255525887,4.688552436965321,-0.24594634215024502,0.24616452358967916
CAD,CAN,2016,1.324811,CA,110.224670864339,110.06700893427,-0.2812698077544839,4.702520745204969,4.7010893524521205,-0.28270120050733194,0.2812698077544839
CAD,CAN,2017,1.298099,CA,111.984831139096,112.411557302308,-0.2609008865598398,4.718363425864705,4.722166755147941,-0.2570975572766043,0.2609008865598398
CAD,CAN,2018,1.29571,CA,114.524899828277,115.157303224791,-0.2590588074587645,4.74079226510119,4.746299047831631,-0.2535520247283234,0.2590588074587645
CAD,CAN,2019,1.326937,CA,116.757298225529,117.244195476228,-0.2828732787144067,4.760097406162941,4.764258900567713,-0.2787117843096345,0.2828732787144067
CAD,CAN,2020,1.340677,CA,117.594447624499,118.690501577198,-0.2931747102608022,4.767241820272518,4.776519278002681,-0.2838972525306387,0.2931747102608022
CAD,CAN,2021,1.25372,CA,121.587006296508,124.266413825838,-0.22611513179236994,4.800630107708302,4.822427759477936,-0.20431748002273586,0.22611513179236994
CAD,CAN,2022,1.301834,CA,129.858328563251,134.21120616846,-0.263774039498297,4.866444075930597,4.899414724542119,-0.23080339088677526,0.263774039498297
CAD,CAN,2023,1.349942,CA,134.895535203205,139.73579356326,-0.3000616285644406,4.904500665580779,4.939753450791028,-0.2648088433541913,0.3000616285644406
CAD,CAN,2024,1.369572,CA,138.10818546079,143.857336014608,-0.3144982822711271,4.92803733064128,4.96882208636568,-0.273713526546727,0.3144982822711271
CHF,CHE,1970,4.310004,CH,33.3732864692163,17.8051000777325,-1.4609388321894718,3.507755773656053,2.8794849374796003,-2.0892096683659247,1.4609388321894718
CHF,CHE,1971,4.117114,CH,35.5669863836013,18.5694314826577,-1.4151524324699867,3.5714178588288474,2.9215167600687066,-2.0650535312301272,1.4151524324699867
CHF,CHE,1972,3.818641,CH,37.9357501812349,19.1770749495732,-1.3398946001588765,3.6358939440323583,2.9537155525891694,-2.0220729916020654,1.3398946001588765
CHF,CHE,1973,3.168789,CH,41.2569000469079,20.3617886272073,-1.1533494959739248,3.719818372656411,3.0136600378830294,-1.8595078307473065,1.1533494959739248
CHF,CHE,1974,2.979983,CH,45.2866324097188,22.612744614712,-1.0919175958030547,3.813011898648097,3.1185136683394976,-1.786415826111654,1.0919175958030547
CHF,CHE,1975,2.583202,CH,48.3192948732668,24.6802610650347,-0.9490297146951375,3.877830960665505,3.2060037769810257,-1.6208568983796168,0.9490297146951375
CHF,CHE,1976,2.498218,CH,49.1482009361889,26.0980958211709,-0.9155776777114498,3.89484024238691,3.2618623546238927,-1.5485555654744672,0.9155776777114498
CHF,CHE,1977,2.403037,CH,49.7851612088449,27.7949115401048,-0.8767333540556845,3.9077169719355362,3.3248529658173425,-1.4595973601738783,0.8767333540556845
CHF,CHE,1978,1.788726,CH,50.2973474100632,29.9159311887723,-0.5815036346077367,3.917952340328717,3.3983911541787712,-1.1010648207576823,0.5815036346077367
CHF,CHE,1979,1.663355,CH,52.1320136262395,33.2828110274678,-0.5088366470625835,3.9537792250480046,3.505041078355544,-0.9575747937550441,0.5088366470625835
CHF,CHE,1980,1.674012,CH,54.2290243166379,37.7923663165264,-0.5152231405003717,3.9932162691115116,3.632107132932793,-0.87633227667909,0.5152231405003717
CHF,CHE,1981,1.964166,CH,57.7486559095696,41.6980997956942,-0.6750677277454719,4.056100074837885,3.7304555593179023,-1.0007122432654545,0.6750677277454719
CHF,CHE,1982,2.032789,CH,61.0144012032029,44.254788345169,-0.7094087417537652,4.111109921607971,3.78996357678979,-1.0305550865719466,0.7094087417537652
CHF,CHE,1983,2.101082,CH,62.8142006147225,45.6764447583299,-0.7424524501350438,4.140181172350132,3.821582733035403,-1.0610508894497723,0.7424524501350438
CHF,CHE,1984,2.349409,CH,64.655571701771,47.6407764689877,-0.854163807165613,4.169074284053026,3.863689043031601,-1.1595490481870376,0.854163807165613
CHF,CHE,1985,2.453077,CH,66.8767487936809,49.3299488738723,-0.8973431549182214,4.202851355060143,3.898531378834656,-1.2016631311437083,0.8973431549182214
CHF,CHE,1986,1.796281,CH,67.378531620158,50.2662548449057,-0.5857184164389342,4.210326445223256,3.9173339741315827,-0.8787108875306071,0.5857184164389342
CHF,CHE,1987,1.490812,CH,68.348999353787,52.1082935307754,-0.39932093796003637,4.2246269230304145,3.9533241209424923,-0.6706237400479584,0.39932093796003637
CHF,CHE,1988,1.465014,CH,69.6288129032682,54.2331348364675,-0.38186479873736257,4.243178460170151,3.9932920654973416,-0.6317511934101723,0.38186479873736257
CHF,CHE,1989,1.635606,CH,71.8257898068906,56.8509698983363,-0.49201337788019833,4.27424360107208,4.040433280707765,-0.7258236982445139,0.49201337788019833
CHF,CHE,1990,1.388716,CH,75.7072261056969,59.919760489111,-0.3283795792237579,4.326873613030288,4.093006342023255,-0.5622468502307907,0.3283795792237579
CHF,CHE,1991,1.435897,CH,80.143364178801,62.4573407534626,-0.36178974103402817,4.383817083099076,4.134483775755862,-0.6111230483772423,0.36178974103402817
CHF,CHE,1992,1.403988,CH,83.3787760002362,64.3490609806525,-0.3393167585585465,4.423393792568411,4.164322341560413,-0.598388209566544,0.3393167585585465
CHF,CHE,1993,1.478021,CH,86.124123758008,66.2484245218916,-0.39070403081478766,4.4557895552095905,4.193411683781927,-0.6530819022424508,0.39070403081478766
CHF,CHE,1994,1.365967,CH,86.8580020534487,67.9758134970225,-0.31186260273087096,4.464274624924659,4.219151958038281,-0.5569852696172495,0.31186260273087096
CHF,CHE,1995,1.183004,CH,88.42129649372,69.8828203523109,-0.16805696622468377,4.482112851191752,4.246819844387176,-0.40334997302925935,0.16805696622468377
CHF,CHE,1996,1.235247,CH,89.1389538564489,71.9312285175105,-0.21127095008260677,4.490196431488682,4.275710503081537,-0.42575687848975186,0.21127095008260677
CHF,CHE,1997,1.450638,CH,89.6026773559716,73.6127576083459,-0.3720034596608684,4.4953852007394905,4.298818347783613,-0.5685703126167456,0.3720034596608684
CHF,CHE,1998,1.448849,CH,89.6187506765556,74.755433058709,-0.37076944810846496,4.495564569030476,4.3142218926891625,-0.5521121244497786,0.37076944810846496
CHF,CHE,1999,1.503651,CH,90.3414760556728,76.391102265249,-0.4078961507280345,4.503596668986856,4.335866226893451,-0.5756265928214397,0.4078961507280345
CHF,CHE,2000,1.689859,CH,91.7494743368115,78.9707207568715,-0.5246450935016804,4.51906175761921,4.36907716043848,-0.6746296906824103,0.5246450935016804
CHF,CHE,2001,1.687983,CH,92.6568952905171,81.2025684592531,-0.5235343250330042,4.528903372957442,4.396946877938964,-0.6554908200514826,0.5235343250330042
CHF,CHE,2002,1.556569,CH,93.252411818155,82.490466876552,-0.44248404014504616,4.53530992219112,4.412682733652381,-0.5651112286837852,0.44248404014504616
CHF,CHE,2003,1.346311,CH,93.8476167201897,84.3630788186188,-0.2973682595111575,4.541672368146295,4.435129851134964,-0.40391077652248786,0.2973682595111575
CHF,CHE,2004,1.242587,CH,94.6011274286296,86.6216781201727,-0.21719549665807694,4.549669393837022,4.461550108955697,-0.30531478153940217,0.21719549665807694
CHF,CHE,2005,1.246551,CH,95.7098093179336,89.5605323721102,-0.22038053770526783,4.56132079391593,4.494914736019611,-0.28678659560158604,0.22038053770526783
CHF,CHE,2006,1.253639,CH,96.7238636326361,92.4497050827274,-0.22605052197779757,4.571860152082682,4.526664767808872,-0.2712459062516075,0.22605052197779757
CHF,CHE,2007,1.200066,CH,97.4322214313128,95.0869923788515,-0.18237655528151014,4.57915697145766,4.554792181845666,-0.20674134489350493,0.18237655528151014
CHF,CHE,2008,1.083274,CH,99.7959672366682,98.7374773853445,-0.07998793694287817,4.603127774050757,4.592464584452349,-0.09065112654128527,0.07998793694287817
CHF,CHE,2009,1.085405,CH,99.3164656408171,98.3864199710624,-0.08195318923320342,4.598311374433054,4.5889027861100065,-0.09136177755625141,0.08195318923320342
CHF,CHE,2010,1.042589,CH,100.0,100.0,-0.041707042749500926,4.605170185988092,4.605170185988092,-0.041707042749500545,0.041707042749500926
CHF,CHE,2011,0.886766,CH,100.231349207651,103.156841568622,0.12017414207421417,4.607481006062118,4.636250563722241,0.1489436997343372,-0.12017414207421417
CHF,CHE,2012,0.938684,CH,99.5371949759393,105.291504532867,0.06327638463371565,4.600531393165348,4.65673273718501,0.11947772865337658,-0.06327638463371565
CHF,CHE,2013,0.927282,CH,99.3208776033039,106.833848874866,0.07549755255814476,4.598355796719574,4.671274813342744,0.14841656918131463,-0.07549755255814476
CHF,CHE,2014,0.915544,CH,99.3077647259499,108.566932118964,0.08823685485371235,4.598223762615938,4.687366868673699,0.17737996091147323,-0.08823685485371235
CHF,CHE,2015,0.96285,CH,98.1717745930006,108.695721960694,0.03785764255624022,4.586718746275291,4.688552436965321,0.1396913332462706,-0.03785764255624022
CHF,CHE,2016,0.985258,CH,97.7451017375588,110.06700893427,0.014851743173432432,4.582363087508222,4.7010893524521205,0.13357800811733078,-0.014851743173432432
CHF,CHE,2017,0.98465,CH,98.2668532046593,112.411557302308,0.015469030903931702,4.587686769928777,4.722166755147941,0.1499490161230952,-0.015469030903931702
CHF,CHE,2018,0.97856,CH,99.186960600683,115.157303224791,0.021673175681494277,4.5970065600934715,4.746299047831631,0.17096566341965325,-0.021673175681494277
CHF,CHE,2019,0.993719,CH,99.5468963730061,117.244195476228,0.006300808468721986,4.600628853459727,4.764258900567713,0.16993085557670717,-0.006300808468721986
CHF,CHE,2020,0.938402,CH,98.824310405343,118.690501577198,0.06357685035784505,4.59334363122107,4.776519278002681,0.24675249713945568,-0.06357685035784505
CHF,CHE,2021,0.914318,CH,99.3992842451936,124.266413825838,0.08957684681315882,4.599144912884023,4.822427759477936,0.31285969340707176,-0.08957684681315882
CHF,CHE,2022,0.95513,CH,102.21728177187,134.21120616846,0.04590782211121268,4.627100761046335,4.899414724542119,0.31822178560699665,-0.04590782211121268
CHF,CHE,2023,0.898971,CH,104.400030506506,139.73579356326,0.1065045030953355,4.648229967656407,4.939753450791028,0.3980279862299563,-0.1065045030953355
CHF,CHE,2024,0.880333,CH,105.509114228825,143.857336014608,0.12745503399763902,4.658797339979201,4.96882208636568,0.43747978038411794,-0.12745503399763902
GBP,GBR,1970,0.417412,GB,9.33470270020344,17.8051000777325,0.8736815353512386,2.233738928624019,2.8794849374796003,1.51942754420682,-0.8736815353512386
GBP,GBR,1971,0.409233,GB,10.2163501941927,18.5694314826577,0.8934706029950215,2.3239893971357475,2.9215167600687066,1.4909979659279804,-0.8934706029950215
GBP,GBR,1972,0.400145,GB,10.9387583687812,19.1770749495732,0.9159282975614061,2.3923122959258856,2.9537155525891694,1.47733155422469,-0.9159282975614061
